symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2025-04-28 13:17:00+00:00,290.69,290.94,290.65,290.93,44007.0,1072.0,290.802108
TSLA,2025-04-28 13:18:00+00:00,290.8536,291.1072,290.75,291.0507,53691.0,1235.0,290.922919
TSLA,2025-04-28 13:19:00+00:00,291.11,291.11,290.75,290.7827,40287.0,879.0,290.913653
TSLA,2025-04-28 13:20:00+00:00,290.8208,290.8208,290.24,290.3875,37622.0,981.0,290.585711
TSLA,2025-04-28 13:21:00+00:00,290.2521,290.4179,290.2,290.25,26999.0,553.0,290.290524
TSLA,2025-04-28 13:22:00+00:00,290.22,290.45,290.16,290.4403,32430.0,601.0,290.248792
TSLA,2025-04-28 13:23:00+00:00,290.49,290.49,290.11,290.3,20734.0,514.0,290.267115
TSLA,2025-04-28 13:24:00+00:00,290.3,290.3,289.7,289.72,51275.0,1052.0,289.906566
TSLA,2025-04-28 13:25:00+00:00,289.87,290.0,289.61,289.69,31272.0,706.0,289.7544
TSLA,2025-04-28 13:26:00+00:00,289.79,289.8,289.7,289.8,19000.0,384.0,289.783371
TSLA,2025-04-28 13:27:00+00:00,289.8,290.0,289.66,289.66,33074.0,682.0,289.900344
TSLA,2025-04-28 13:28:00+00:00,289.61,289.61,289.13,289.23,36743.0,935.0,289.29048
TSLA,2025-04-28 13:29:00+00:00,289.39,289.48,289.0,289.0,31356.0,826.0,289.12554
TSLA,2025-04-28 13:30:00+00:00,289.01,289.22,287.7,288.965,1795340.0,33339.0,288.618337
TSLA,2025-04-28 13:31:00+00:00,288.9,291.0,287.67,287.9652,1658978.0,22846.0,289.637437
TSLA,2025-04-28 13:32:00+00:00,287.92,290.0,286.18,288.78,1169505.0,16970.0,288.055594
TSLA,2025-04-28 13:33:00+00:00,288.74,290.29,288.34,289.3412,894225.0,12910.0,289.45851
TSLA,2025-04-28 13:34:00+00:00,289.3224,289.47,286.92,289.32,847502.0,11851.0,288.016419
TSLA,2025-04-28 13:35:00+00:00,289.3313,292.35,288.55,292.11,1583279.0,20296.0,291.038266
TSLA,2025-04-28 13:36:00+00:00,292.16,292.31,289.17,291.3795,1274996.0,17355.0,290.612912
TSLA,2025-04-28 13:37:00+00:00,291.2454,292.03,290.29,291.3499,910877.0,12837.0,291.280953
TSLA,2025-04-28 13:38:00+00:00,291.32,292.48,291.01,291.475,831650.0,11531.0,291.760653
TSLA,2025-04-28 13:39:00+00:00,291.46,291.7,289.51,289.6399,845803.0,11666.0,290.693697
TSLA,2025-04-28 13:40:00+00:00,289.64,291.46,289.36,290.91,814358.0,10797.0,290.640754
